Timestamp(ms),Current(uA)
99000,15.575
99100,15.644
99200,15.616
99300,15.704
99400,15.613
99500,15.666
99600,15.584
99700,15.597
99800,15.654
99900,15.674
100000,15.670
100100,15.575
100200,15.582
100300,15.640
100400,15.585
100500,15.574
100600,15.592
100700,15.637
100800,15.610
100900,15.552
101000,15.590
101100,15.601
101200,15.593
101300,15.647
101400,15.573
101500,15.580
101600,15.645
101700,15.604
101800,15.630
101900,15.607
102000,15.651
102100,15.625
102200,15.541
102300,15.579
102400,15.596
102500,15.516
102600,15.367
102700,15.468
102800,15.557
102900,15.620
103000,15.427
103100,15.383
103200,15.436
103300,15.436
103400,15.344
103500,15.330
103600,15.222
103700,15.330
103800,15.514
103900,15.558
104000,15.544
104100,15.979
104200,19.328
104300,44.824
104400,56.558
104500,46.265
104600,41.589
104700,25.247
104800,17.554
104900,14.639
105000,13.738
105100,13.829
105200,13.957
105300,14.463
105400,15.015
105500,15.312
105600,15.455
105700,15.329
105800,15.046
105900,15.129
106000,15.170
106100,15.329
106200,15.485
106300,15.664
106400,15.661
106500,15.800
106600,15.686
106700,15.443
106800,15.315
106900,15.391
107000,15.482
107100,15.489
107200,15.652
107300,15.716
107400,15.836
107500,15.680
107600,15.633
107700,15.682
107800,15.608
107900,15.438
108000,15.341
108100,15.342
108200,15.407
108300,15.493
108400,15.538
108500,15.525
108600,15.617
108700,15.720
108800,15.635
108900,15.694
109000,15.711
109100,15.729
109200,15.744
109300,15.690
109400,15.598
109500,15.682
109600,15.627
109700,15.579
109800,15.643
109900,15.579
110000,15.647
110100,15.711
110200,15.645
110300,15.683
110400,15.611
110500,15.642
110600,15.671
110700,15.714
110800,15.637
110900,15.609
111000,15.682
111100,15.692
111200,15.650
111300,15.566
111400,15.429
111500,15.358
111600,15.459
111700,15.566
111800,15.468
111900,15.562
112000,15.594
112100,15.550
112200,15.602
112300,15.532
112400,15.577
112500,15.603
112600,15.575
112700,15.560
112800,15.639
112900,15.515
113000,15.400
113100,15.509
113200,15.497
113300,15.432
113400,15.414
113500,15.414
113600,15.498
113700,15.476
113800,15.427
113900,15.459
114000,15.431
114100,15.494
114200,15.474
114300,15.574
114400,15.569
114500,15.516
114600,15.501
114700,15.571
114800,15.490
114900,15.529
115000,15.523
115100,15.502
115200,15.522
115300,15.637
115400,15.537
115500,15.557
115600,15.573
115700,15.559
115800,15.564
115900,15.633
116000,15.587
116100,15.683
116200,15.582
116300,15.509
116400,15.527
116500,15.602
116600,15.484
116700,15.455
116800,15.555
116900,15.592
117000,15.655
117100,15.600
117200,15.611
117300,15.609
117400,15.598
117500,15.591
117600,15.653
117700,15.630
117800,15.734
117900,15.562
118000,15.604
118100,15.652
118200,15.630
118300,15.553
118400,15.599
118500,15.526
118600,15.553
118700,15.467
118800,15.504
118900,15.608
119000,15.543
119100,15.643
119200,15.732
119300,15.756
119400,15.771
119500,15.761
119600,15.696
119700,15.597
119800,15.528
119900,15.618
120000,15.702
120100,15.586
120200,15.448
120300,15.470
120400,15.571
120500,15.599
120600,15.612
120700,15.617
120800,15.359
120900,15.314
121000,15.414
121100,15.587
121200,15.569
121300,15.519
121400,15.547
121500,15.519
121600,15.447
121700,15.557
121800,15.555
121900,15.483
122000,15.492
122100,15.506
122200,15.600
122300,15.565
122400,15.665
122500,15.531
122600,15.599
122700,15.591
122800,15.580
122900,15.507
123000,15.513
123100,15.580
123200,15.635
123300,15.569
123400,15.540
123500,15.567
123600,15.538
123700,15.483
123800,15.530
123900,15.466
124000,15.525
124100,15.464
124200,15.493
124300,15.469
124400,15.485
124500,15.499
124600,15.449
124700,15.530
124800,15.506
124900,15.518
125000,15.609
125100,15.677
125200,15.761
125300,15.756
125400,15.715
125500,15.738
125600,15.785
125700,15.634
125800,15.561
125900,15.632
126000,15.600
126100,15.630
126200,15.651
126300,15.539
126400,15.573
126500,15.594
126600,15.566
126700,15.629
126800,15.623
126900,15.647
127000,15.637
127100,15.617
127200,15.711
127300,15.543
127400,15.542
127500,15.484
127600,15.486
127700,15.529
127800,15.575
127900,15.496
128000,15.593
128100,15.564
128200,15.630
128300,15.520
128400,15.480
128500,15.501
128600,15.474
128700,15.555
128800,15.492
128900,15.580
129000,15.501
129100,15.501
129200,15.396
129300,15.428
129400,15.425
129500,15.491
129600,15.513
129700,15.586
129800,15.568
129900,15.643
130000,15.610
130100,15.615
130200,15.596
130300,15.582
130400,15.704
130500,15.614
130600,15.588
130700,15.577
130800,15.584
130900,15.589
131000,15.659
131100,15.647
131200,15.591
131300,15.636
131400,15.588
131500,15.528
131600,15.488
131700,15.545
131800,15.601
131900,15.615
132000,15.628
132100,15.561
132200,15.662
132300,15.629
132400,15.552
132500,15.511
132600,15.600
132700,15.567
132800,15.656
132900,15.637
133000,15.547
133100,15.577
133200,15.662
133300,15.658
133400,15.720
133500,15.748
133600,15.800
133700,15.773
133800,15.692
133900,15.781
134000,15.770
134100,15.747
134200,15.759
134300,15.758
134400,15.682
134500,15.794
134600,15.796
134700,15.724
134800,15.764
134900,15.745
135000,15.730
135100,15.763
135200,15.757
135300,15.800
135400,15.579
135500,15.549
135600,15.583
135700,15.732
135800,15.729
135900,15.783
136000,15.728
136100,15.650
136200,15.423
136300,15.505
136400,15.643
136500,15.573
136600,15.628
136700,15.655
136800,15.681
136900,15.576
137000,15.623
137100,15.642
137200,15.601
137300,15.619
137400,15.596
137500,15.657
137600,15.610
137700,15.634
137800,15.710
137900,15.754
138000,15.781
138100,15.735
138200,15.754
138300,15.665
138400,15.730
138500,15.851
138600,15.927
138700,15.783
138800,15.811
138900,15.782
139000,15.768
139100,15.778
139200,15.667
139300,15.729
139400,15.770
139500,15.838
139600,15.754
139700,15.749
139800,15.630
139900,15.653
140000,15.654
140100,15.638
140200,15.605
140300,15.493
140400,15.574
140500,15.598
140600,15.696
140700,15.569
140800,15.596
140900,15.593
141000,15.723
141100,15.756
141200,15.710
141300,15.757
141400,15.737
141500,15.716
141600,15.729
141700,15.727
141800,15.696
141900,15.731
142000,15.772
142100,15.774
142200,15.738
142300,15.701
142400,15.751
142500,15.786
142600,15.791
142700,15.775
142800,15.816
142900,15.755
143000,15.773
143100,15.794
143200,15.780
143300,15.779
143400,15.782
143500,15.763
143600,15.756
143700,15.710
143800,15.777
143900,15.750
144000,15.758
144100,15.721
144200,15.783
144300,15.806
144400,15.755
144500,15.752
144600,15.735
144700,15.718
144800,15.711
144900,15.658
145000,15.756
145100,15.719
145200,15.731
145300,15.741
145400,15.708
145500,15.669
145600,15.468
145700,15.534
145800,15.718
145900,15.744
146000,15.761
146100,15.746
146200,15.762
146300,15.780
146400,15.671
146500,15.767
146600,15.756
146700,15.755
146800,15.769
146900,15.749
147000,15.726
147100,15.684
147200,15.751
147300,15.720
147400,15.673
147500,15.760
147600,15.690
147700,15.720
147800,15.774
147900,15.754
148000,15.731
148100,15.779
148200,15.751
148300,15.784
148400,15.731
148500,15.724
148600,15.793
148700,15.768
148800,15.797
148900,15.740
149000,15.791
149100,15.743
149200,15.753
149300,15.738
149400,15.728
149500,15.665
149600,15.696
149700,15.743
149800,15.731
149900,15.804
150000,15.772
150100,15.792
150200,15.792
150300,15.816
150400,15.734
150500,15.763
150600,15.728
150700,15.745
150800,15.761
150900,15.823
151000,15.880
151100,15.852
151200,15.873
151300,15.841
151400,15.754
151500,15.720
151600,15.737
151700,15.751
151800,15.687
151900,15.713
152000,15.579
152100,15.521
152200,15.571
152300,15.541
152400,15.539
152500,15.568
152600,15.570
152700,15.457
152800,15.365
152900,15.557
153000,15.515
153100,15.545
153200,15.535
153300,15.499
153400,15.622
153500,15.574
153600,15.640
153700,15.657
153800,15.708
153900,15.592
154000,15.613
154100,15.573
154200,15.540
154300,15.495
154400,15.377
154500,15.412
154600,15.328
154700,15.405
154800,15.415
154900,15.460
155000,15.422
155100,15.481
155200,15.482
155300,15.664
155400,15.757
155500,15.646
155600,15.662
155700,15.762
155800,15.808
155900,15.633
156000,15.599
156100,15.622
156200,15.640
156300,15.603
156400,15.585
156500,15.583
156600,15.595
156700,15.472
156800,15.517
156900,15.560
157000,15.483
157100,15.554
157200,15.630
157300,15.583
157400,15.507
157500,15.534
157600,15.532
157700,15.669
157800,15.632
157900,15.591
158000,15.555
158100,15.733
158200,15.742
158300,15.755
158400,15.763
158500,15.778
158600,15.728
158700,15.764
158800,15.725
158900,15.721
159000,15.773
159100,15.738
159200,15.714
159300,15.794
159400,15.789
159500,15.650
159600,15.743
159700,15.653
159800,15.769
159900,15.677
160000,15.644
160100,15.656
160200,15.643
160300,15.666
160400,15.605
160500,15.573
160600,15.550
160700,15.576
160800,15.553
160900,15.421
161000,15.450
161100,15.491
161200,15.599
161300,15.718
161400,15.682
161500,15.781
161600,15.796
161700,15.778
161800,15.791
161900,15.747
162000,15.752
162100,15.745
162200,15.764
162300,15.740
162400,15.748
162500,15.764
162600,15.794
162700,15.756
162800,15.798
162900,15.774
163000,15.773
163100,15.707
163200,15.720
163300,15.690
163400,15.783
163500,15.690
163600,15.714
163700,15.724
163800,15.720
163900,15.661
164000,15.678
164100,15.716
164200,15.749
164300,15.790
164400,15.773
164500,15.768
164600,15.782
164700,15.753
164800,15.633
164900,15.632
165000,15.650
165100,15.602
165200,15.640
165300,15.686
165400,15.676
165500,15.711
165600,15.683
165700,15.623
165800,15.654
165900,15.458
166000,15.550
166100,15.473
166200,15.435
166300,15.501
166400,15.522
166500,15.582
166600,15.629
166700,15.638
166800,15.699
166900,15.718
167000,15.701
167100,15.728
167200,15.732
167300,15.757
167400,15.774
167500,15.743
167600,15.732
167700,15.758
167800,15.782
167900,15.710
168000,15.777
168100,15.710
168200,15.624
168300,15.613
168400,15.600
168500,15.607
168600,15.663
168700,15.624
168800,15.577
168900,15.607
169000,15.589
169100,15.515
169200,15.592
169300,15.585
169400,15.562
169500,15.587
169600,15.543
169700,15.646
169800,15.692
169900,15.721
170000,15.747
170100,15.684
170200,15.673
170300,15.759
170400,15.746
170500,15.784
170600,15.748
170700,15.614
170800,15.593
170900,15.584
171000,15.604
171100,15.564
171200,15.588
171300,15.621
171400,15.554
171500,15.600
171600,15.578
171700,15.604
171800,15.588
171900,15.605
172000,15.668
172100,15.629
172200,15.601
172300,15.538
172400,15.546
172500,15.566
172600,15.509
172700,15.521
172800,15.544
172900,15.561
173000,15.572
173100,15.512
173200,15.522
173300,15.483
173400,15.520
173500,15.578
173600,15.514
173700,15.422
173800,15.498
173900,15.475
174000,15.470
174100,15.439
174200,15.406
174300,15.418
174400,15.415
174500,15.331
174600,15.474
174700,15.443
174800,15.522
174900,15.550
175000,15.527
175100,15.529
175200,15.599
175300,15.552
175400,15.499
175500,15.597
175600,15.627
175700,15.603
175800,15.600
175900,15.619
176000,15.640
176100,15.665
176200,15.784
176300,15.798
176400,15.747
176500,15.772
176600,15.757
176700,15.769
176800,15.758
176900,15.726
177000,15.700
177100,15.732
177200,15.730
177300,15.738
177400,15.699
177500,15.634
177600,15.529
177700,15.472
177800,15.529
177900,15.489
178000,15.621
178100,15.709
178200,15.753
178300,15.781
178400,15.747
178500,15.768
178600,15.750
178700,15.706
178800,15.744
178900,15.759
179000,15.739
179100,15.797
179200,15.728
179300,15.654
179400,15.790
179500,15.677
179600,15.657
179700,15.625
179800,15.641
179900,15.705
180000,15.626
180100,15.689
180200,15.839
180300,15.793
180400,15.816
180500,15.790
180600,15.820
180700,15.827
180800,15.808
180900,15.839
181000,15.776
181100,15.821
181200,15.825
181300,15.865
181400,15.825
181500,15.809
181600,15.847
181700,15.937
181800,15.896
181900,15.838
182000,15.829
182100,15.759
182200,15.805
182300,15.829
182400,15.858
182500,15.771
182600,15.685
182700,15.739
182800,15.802
182900,15.781
183000,15.759
183100,15.795
183200,15.649
183300,15.637
183400,15.658
183500,15.589
183600,15.538
183700,15.569
183800,15.500
183900,15.546
184000,15.540
184100,15.545
184200,15.504
184300,15.451
184400,15.531
184500,15.531
184600,15.504
184700,15.478
184800,15.621
184900,15.526
185000,15.558
185100,15.516
185200,15.499
185300,15.508
185400,15.551
185500,15.536
185600,15.529
185700,15.488
185800,15.485
185900,15.491
186000,15.412
186100,15.502
186200,15.486
186300,15.565
186400,15.457
186500,15.474
186600,15.499
186700,15.540
186800,15.582
186900,15.364
187000,15.308
187100,15.206
187200,15.342
187300,15.428
187400,15.556
187500,15.446
187600,15.209
187700,15.211
187800,15.396
187900,15.397
188000,15.466
188100,15.454
188200,15.466
188300,15.445
188400,15.541
188500,15.562
188600,15.681
188700,15.675
188800,15.602
188900,15.661
189000,15.612
189100,15.680
189200,15.656
189300,15.675
189400,15.653
189500,15.649
189600,15.573
189700,15.574
189800,15.585
189900,15.623
190000,15.795
190100,15.685
190200,15.664
190300,15.546
190400,15.512
190500,15.521
190600,15.591
190700,15.511
190800,15.594
190900,15.603
191000,15.518
191100,15.555
191200,15.510
191300,15.507
191400,15.514
191500,15.545
191600,15.517
191700,15.517
191800,15.530
191900,15.644
192000,15.583
192100,15.565
192200,15.630
192300,15.569
192400,15.601
192500,15.607
192600,15.617
192700,15.676
192800,15.712
192900,15.592
193000,15.767
193100,15.794
193200,15.804
193300,15.792
193400,15.761
193500,15.765
193600,15.705
193700,15.617
193800,15.608
193900,15.616
194000,15.680
194100,15.627
194200,15.771
194300,15.748
194400,15.751
194500,15.689
194600,15.702
194700,15.770
194800,15.706
194900,15.776
195000,15.798
195100,15.678
195200,15.688
195300,15.778
195400,15.732
195500,15.672
195600,15.725
195700,15.729
195800,15.659
195900,15.693
196000,15.504
196100,15.535
196200,15.671
196300,15.770
196400,15.749
196500,15.781
196600,15.811
196700,15.747
196800,15.771
196900,15.667
197000,15.665
197100,15.767
197200,15.741
197300,15.779
197400,15.748
197500,15.832
197600,15.896
197700,15.853
197800,15.872
197900,15.939
198000,15.771
198100,15.760
198200,15.822
198300,15.766
198400,15.771
198500,15.711
198600,15.730
198700,15.677
198800,15.624
198900,15.643
199000,15.666
199100,15.724
